# Son Güncelleme: 17.06.2026 19:14:40
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
17.06.2026  OYYAT          AL          49,34       1.5442      13.8571     8.9734      Para girişi var, hacim güçlü destek sağlıyor                          
17.06.2026  EFOR           AL          13,95       0.2164      0.6722      3.1063      Para girişi var, hacim güçlü destek sağlıyor                          
17.06.2026  PASEU          AL          115,90      0.6436      1.4083      2.1882      Para girişi var, hacim güçlü destek sağlıyor                          
17.06.2026  ECZYT          AL          349,00      -0.5553     -0.6628     1.1937      AL sinyali riskli – para çıkışı var                                   
17.06.2026  BANVT          AL          164,40      3.4624      3.6401      1.0513      Orta düzey destek, yükseliş uyumlu ama zayıf                          
17.06.2026  BMSTL          AL          92,45       5.2440      3.5292      0.6730      Yükseliş hacimle destekleniyor                                        
17.06.2026  OFSYM          AL          59,70       5.4746      3.2625      0.5959      Yükseliş hacimle destekleniyor                                        
17.06.2026  AYEN           AL          45,24       0.7949      0.3369      0.4239      Para girişi var ama hacim sınırlı                                     
17.06.2026  CEOEM          AL          26,08       -1.1828     -0.4311     0.3645      AL sinyali riskli – para çıkışı var                                   
17.06.2026  KSTUR          AL          2947,50     4.8696      1.4409      0.2959      Para girişi var ama hacim sınırlı                                     
17.06.2026  QNBFK          AL          37,56       1.3333      0.3487      0.2615      Para girişi var ama hacim sınırlı                                     
17.06.2026  AKYHO          AL          2,57        -1.6978     -0.4149     0.2444      AL sinyali riskli – para çıkışı var                                   
17.06.2026  BLUME          AL          32,92       -0.7642     -0.1739     0.2275      AL sinyali riskli – para çıkışı var                                   
17.06.2026  SNPAM          AL          22,40       1.0000      0.2051      0.2051      Para girişi var ama hacim sınırlı                                     
17.06.2026  SDTTR          AL          255,75      13.7900     1.7121      0.1242      Para girişi var ama hacim sınırlı                                     
17.06.2026  BIOEN          AL          18,00       1.7413      0.2062      0.1184      Para girişi var ama hacim sınırlı                                     
17.06.2026  MARBL          AL          13,59       11.4625     1.2510      0.1091      Para girişi var ama hacim sınırlı                                     
17.06.2026  PAPIL          AL          15,03       23.4416     2.3878      0.1019      Para girişi var ama hacim sınırlı                                     
17.06.2026  BORLS          AL          5,53        -2.4075     -0.2180     0.0905      AL sinyali riskli – para çıkışı var                                   
17.06.2026  SNICA          AL          4,33        51.9417     2.9702      0.0572      Para girişi var ama hacim sınırlı                                     
17.06.2026  SODSN          AL          8,95        -2.2667     -0.0509     0.0224      AL sinyali riskli – para çıkışı var                                   
17.06.2026  TURGG          AL          31,70       -283.2000   6.2445      -0.0220     AL sinyali riskli – para çıkışı var                                   
17.06.2026  IZENR          AL          10,33       11.2316     -0.6785     -0.0604     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  GENKM          AL          21,34       2.3344      -0.1460     -0.0625     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  PRZMA          AL          46,90       -7.1629     0.4705      -0.0657     AL sinyali riskli – para çıkışı var                                   
17.06.2026  YESIL          AL          1,43        3.5055      -0.3327     -0.0949     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  YIGIT          AL          24,30       3.1919      -0.3518     -0.1102     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  KENT           AL          390,00      2.6667      -0.3037     -0.1139     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  KARTN          AL          128,50      -7.3566     0.9021      -0.1226     AL sinyali riskli – para çıkışı var                                   
17.06.2026  IZFAS          AL          62,70       1.1660      -0.1965     -0.1685     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  MMCAS          AL          59,50       1.4730      -0.2525     -0.1714     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  SEKUR          AL          10,04       2.1529      -0.4118     -0.1913     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  PATEK          AL          23,48       -3.2711     0.6695      -0.2047     AL sinyali riskli – para çıkışı var                                   
17.06.2026  DURKN          AL          20,02       1.5927      -0.3892     -0.2444     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  AKFIS          AL          66,05       1.3793      -0.3910     -0.2835     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  AKSUE          AL          37,50       1.1538      -0.3693     -0.3200     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  GUNDG          AL          1340,00     1.1166      -0.4537     -0.4063     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  MNDRS          AL          11,50       1.1549      -0.4751     -0.4113     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  CANTE          AL          1,47        -2.8973     1.3561      -0.4681     AL sinyali riskli – para çıkışı var                                   
17.06.2026  IHGZT          AL          1,36        1.0827      -0.7514     -0.6940     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  OYLUM          AL          8,35        -0.5182     0.4576      -0.8831     AL sinyali riskli – para çıkışı var                                   
17.06.2026  DOFER          AL          33,40       0.2049      -0.2261     -1.1036     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  SEYKM          AL          4,73        0.1929      -0.4316     -2.2371     Çelişkili sinyal – para girişi var ama hacim düşüyor                  
17.06.2026  MIATK          AL          47,44       -0.2272     0.8614      -3.7918     AL sinyali riskli – para çıkışı var                                   
