TARIH       SEMBOL  GUN.F%  SON  
05.03.2026  A1CAP   0,63    17,68
05.03.2026  A1YEN   4,06    29,72
05.03.2026  ACSEL   4,58    105,00
05.03.2026  ADEL    2,34    33,28
05.03.2026  ADESE   0,98    1,03 
05.03.2026  ADGYO   0,00    52,05
05.03.2026  AEFES   0,27    18,75
05.03.2026  AFYON   3,42    15,12
05.03.2026  AGESA   0,55    218,50
05.03.2026  AGHOL   -1,15   30,92
05.03.2026  AGROT   3,58    2,89 
05.03.2026  AGYO    3,00    7,55 
05.03.2026  AHGAZ   1,35    23,96
05.03.2026  AHSGY   -5,92   20,98
05.03.2026  AKBNK   1,47    79,60
05.03.2026  AKCNS   -0,90   208,10
05.03.2026  AKENR   1,37    10,37
05.03.2026  AKFGY   1,42    2,86 
05.03.2026  AKFIS   5,97    29,10
05.03.2026  AKFYE   6,32    18,83
05.03.2026  AKGRT   -0,52   7,61 
05.03.2026  AKMGY   0,09    217,60
05.03.2026  AKSA    1,43    9,92 
05.03.2026  AKSEN   1,19    67,85
05.03.2026  AKSGY   1,46    8,32 
05.03.2026  AKSUE   -3,95   26,74
05.03.2026  AKYHO   0,75    2,67 
05.03.2026  ALARK   -1,22   97,50
05.03.2026  ALBRK   1,55    8,50 
05.03.2026  ALCAR   1,06    764,00
05.03.2026  ALCTL   1,91    122,50
05.03.2026  ALFAS   0,95    38,44
05.03.2026  ALGYO   1,64    4,97 
05.03.2026  ALKA    2,68    11,10
05.03.2026  ALKIM   1,42    17,09
05.03.2026  ALKLC   0,38    266,50
05.03.2026  ALTNY   -0,96   16,55
05.03.2026  ALVES   1,61    3,16 
05.03.2026  ANELE   4,07    14,59
05.03.2026  ANGEN   1,49    10,25
05.03.2026  ANHYT   1,45    112,10
05.03.2026  ANSGR   2,86    26,60
05.03.2026  ARASE   0,91    83,55
05.03.2026  ARCLK   0,72    112,20
05.03.2026  ARDYZ   4,74    41,10
05.03.2026  ARENA   1,38    24,96
05.03.2026  ARFYE   0,00    nan  
05.03.2026  ARMGD   3,77    79,90
05.03.2026  ARSAN   0,82    3,71 
05.03.2026  ARTMS   1,36    37,30
05.03.2026  ARZUM   2,45    2,51 
05.03.2026  ASELS   3,60    345,00
05.03.2026  ASGYO   1,48    10,97
05.03.2026  ASTOR   3,89    173,50
05.03.2026  ASUZU   1,64    65,05
05.03.2026  ATAGY   1,64    13,03
05.03.2026  ATAKP   1,71    53,55
05.03.2026  ATATP   8,62    168,80
05.03.2026  ATEKS   0,00    nan  
05.03.2026  ATLAS   0,24    8,20 
05.03.2026  ATSYH   2,12    53,10
05.03.2026  AVGYO   2,25    13,16
05.03.2026  AVHOL   3,36    36,30
05.03.2026  AVOD    3,13    4,61 
05.03.2026  AVPGY   1,58    50,10
05.03.2026  AVTUR   -6,72   21,10
05.03.2026  AYCES   5,08    538,00
05.03.2026  AYDEM   6,25    27,18
05.03.2026  AYEN    3,16    27,44
05.03.2026  AYES    5,43    25,62
05.03.2026  AYGAZ   3,07    251,50
05.03.2026  AZTEK   6,99    4,44 
05.03.2026  BAGFS   -9,97   37,38
05.03.2026  BAHKM   -5,36   111,30
05.03.2026  BAKAB   3,20    37,46
05.03.2026  BALAT   -1,58   93,50
05.03.2026  BALSU   2,05    14,46
05.03.2026  BANVT   0,51    158,00
05.03.2026  BARMA   -8,27   40,36
05.03.2026  BASCM   1,02    14,90
05.03.2026  BASGZ   -0,86   46,10
05.03.2026  BAYRK   0,63    4,79 
05.03.2026  BEGYO   1,95    4,18 
05.03.2026  BERA    8,55    18,53
05.03.2026  BESLR   3,18    13,96
