# Son Güncelleme: 24.04.2026 22:06:31
TARIH       SEMBOL  GUN.F%  SON  
17.04.2026  A1CAP   6,37    15,19
17.04.2026  A1YEN   0,40    35,06
17.04.2026  ACSEL   7,04    123,20
17.04.2026  ADEL    0,43    42,18
17.04.2026  ADESE   4,46    1,17 
17.04.2026  ADGYO   1,34    60,30
17.04.2026  AEFES   4,52    19,42
17.04.2026  AFYON   1,99    14,32
17.04.2026  AGESA   0,85    236,30
17.04.2026  AGHOL   3,96    32,04
17.04.2026  AGROT   9,86    3,23 
17.04.2026  AGYO    3,49    8,60 
17.04.2026  AHGAZ   1,69    25,34
17.04.2026  AHSGY   1,92    18,09
17.04.2026  AKBNK   6,98    83,55
17.04.2026  AKCNS   7,45    214,80
17.04.2026  AKENR   1,91    10,14
17.04.2026  AKFGY   3,58    2,89 
17.04.2026  AKFIS   9,24    49,16
17.04.2026  AKFYE   -0,92   21,46
17.04.2026  AKGRT   3,27    7,58 
17.04.2026  AKMGY   -2,59   282,50
17.04.2026  AKSA    2,34    10,95
17.04.2026  AKSEN   -1,60   80,10
17.04.2026  AKSGY   0,32    9,53 
17.04.2026  AKSUE   -0,38   37,00
17.04.2026  AKYHO   1,89    2,70 
17.04.2026  ALARK   2,52    95,55
17.04.2026  ALBRK   3,14    9,21 
17.04.2026  ALCAR   2,98    829,00
17.04.2026  ALCTL   0,70    144,50
17.04.2026  ALFAS   3,78    40,04
17.04.2026  ALGYO   3,63    5,42 
17.04.2026  ALKA    4,09    11,70
17.04.2026  ALKIM   1,31    19,36
17.04.2026  ALKLC   0,67    450,00
17.04.2026  ALTNY   -0,06   15,96
17.04.2026  ALVES   1,86    3,83 
17.04.2026  ANELE   9,99    34,80
17.04.2026  ANGEN   2,00    11,24
17.04.2026  ANHYT   2,80    113,80
17.04.2026  ANSGR   1,80    28,34
17.04.2026  ARASE   2,58    103,30
17.04.2026  ARCLK   2,33    118,70
17.04.2026  ARDYZ   0,38    42,18
17.04.2026  ARENA   1,01    28,12
17.04.2026  ARFYE   9,98    32,84
17.04.2026  ARMGD   0,61    147,50
17.04.2026  ARSAN   4,83    3,69 
17.04.2026  ARTMS   0,00    nan  
17.04.2026  ARZUM   -9,94   2,90 
17.04.2026  ASELS   0,73    414,00
17.04.2026  ASGYO   2,92    11,27
17.04.2026  ASTOR   2,45    196,70
17.04.2026  ASUZU   0,00    nan  
17.04.2026  ATAGY   3,10    13,30
17.04.2026  ATAKP   1,26    56,10
17.04.2026  ATATP   3,35    148,00
17.04.2026  ATEKS   -0,52   95,00
17.04.2026  ATLAS   0,00    nan  
17.04.2026  ATSYH   3,73    57,00
17.04.2026  AVGYO   -0,76   13,07
17.04.2026  AVHOL   3,68    38,36
17.04.2026  AVOD    1,41    4,33 
17.04.2026  AVPGY   2,45    56,50
17.04.2026  AVTUR   -4,97   19,50
17.04.2026  AYCES   -1,60   1.232,00
17.04.2026  AYDEM   0,41    29,48
17.04.2026  AYEN    0,48    33,60
17.04.2026  AYES    1,87    32,70
17.04.2026  AYGAZ   -7,16   269,25
17.04.2026  AZTEK   4,54    4,61 
17.04.2026  BAGFS   -0,40   34,74
17.04.2026  BAHKM   -0,49   121,60
17.04.2026  BAKAB   0,00    nan  
17.04.2026  BALAT   0,95    90,00
17.04.2026  BALSU   5,79    15,89
17.04.2026  BANVT   2,48    165,50
17.04.2026  BARMA   1,74    58,50
17.04.2026  BASCM   2,88    15,02
17.04.2026  BASGZ   1,79    51,15
17.04.2026  BAYRK   0,20    5,08 
17.04.2026  BEGYO   4,12    4,55 
17.04.2026  BERA    1,04    17,56
17.04.2026  BESLR   3,10    13,96
17.04.2026  BEYAZ   3,64    31,30
17.04.2026  BFREN   4,10    157,40
17.04.2026  BIENY   1,15    26,32
17.04.2026  BIGCH   4,76    7,70 
