SEMBOL  3.DİRENÇ  2.DİRENÇ  1.DİRENÇ  PİVOT     1.DESTEK  2.DESTEK  3.DESTEK  SON       
XU030   17073     16954     16780     16661     16487     16368     16194     17127,84  
XU050   13263     13176     13049     12961     12835     12747     12620     13309,79  
XU100   14787     14696     14558     14467     14329     14237     14100     14827,35  
XUTUM   18755     18650     18501     18396     18247     18143     17993     18758,73  
FXU030  172,26    170,85    169,68    168,27    167,10    165,69    164,52    nan       
XBANK   18840     18647     18463     18270     18086     17893     17709     18935,61  
XBLSM   9714      9630      9572      9488      9430      9347      9288      9253,26   
XELKT   804       801       795       792       786       783       777       810,08    
XGMYO   6911      6881      6840      6811      6770      6740      6699      6898,14   
XGIDA   16917     16806     16680     16569     16443     16332     16206     16677,43  
XHOLD   14284     14195     14061     13973     13839     13750     13616     14285,42  
XINSA   23648     23427     23183     22962     22718     22497     22253     23220,82  
XILTM   3095      3051      2973      2930      2852      2808      2731      2991,48   
XINSA   23648     23427     23183     22962     22718     22497     22253     23220,82  
XILTM   3095      3051      2973      2930      2852      2808      2731      2991,48   
XKAGT   9554      9484      9349      9279      9144      9074      8939      9262,05   
XMESY   29494     29160     28631     28297     27768     27434     26905     28509,77  
XMADN   15025     14850     14660     14485     14295     14120     13930     15242,04  
XSGRT   79971     79347     78222     77598     76473     75848     74724     78455,13  
XSPOR   1973      1957      1931      1914      1888      1872      1846      1922,85   
XTRZM   2027      2003      1957      1933      1887      1864      1817      1939,54   
XTCRT   36140     35716     34934     34510     33727     33303     32521     35005,83  
XTAST   15137     15058     14899     14820     14661     14582     14423     14854,73  
XTEKS   4441      4423      4398      4380      4354      4336      4311      4439,36   
XUHIZ   13385     13283     13090     12987     12794     12691     12498     13171,32  
XULAS   40156     39845     39346     39034     38536     38224     37726     39662,58  
XUSIN   18605     18486     18295     18175     17984     17864     17673     18308,82  
XUTEK   51410     50801     50434     49825     49459     48850     48483     50997,06  
XULASG  86211     85543     84472     83804     82733     82064     80994     85151,56  
A1CAP   10,40     10,31     10,17     10,08     99,40     98,50     97,10     10,09     
A1YEN   3,39      3,34      3,25      3,20      3,11      3,06      2,97      3,24      
ACSEL   159,70    157,60    154,50    152,40    149,30    147,20    144,10    148,30    
ADEL    33,81     33,46     33,29     32,94     32,77     32,42     32,25     33,46     
ADESE   1,09      1,07      1,04      1,02      0,99      0,97      0,94      1,02      
ADGYO   57,50     56,45     55,60     54,55     53,70     52,65     51,80     56,00     
AEFES   22,02     21,70     21,38     21,06     20,74     20,42     20,10     21,52     
AFYON   13,27     13,15     12,96     12,84     12,65     12,53     12,34     13,42     
AGESA   267,66    264,33    260,66    257,33    253,66    250,33    246,66    259,00    
AGHOL   35,18     34,80     34,26     33,88     33,34     32,96     32,42     34,34     
AGROT   2,91      2,88      2,84      2,81      2,77      2,74      2,70      2,81      
AGYO    8,82      8,71      8,52      8,41      8,22      8,11      7,92      8,32      
AHGAZ   36,32     35,51     34,82     34,01     33,32     32,51     31,82     35,84     
AHSGY   19,95     19,59     19,26     18,90     18,57     18,21     17,88     18,95     
AKBNK   80,63     79,56     78,78     77,71     76,93     75,86     75,08     81,10     
AKCNS   231,90    229,80    227,10    225,00    222,30    220,20    217,50    212,90    
AKENR   13,59     13,39     13,10     12,90     12,61     12,41     12,12     12,77     
AKFGY   2,90      2,87      2,86      2,83      2,82      2,79      2,78      2,80      
AKFIS   68,98     68,01     67,03     66,06     65,08     64,11     63,13     66,75     
AKFYE   27,98     27,24     25,96     25,22     23,94     23,20     21,92     24,22     
AKGRT   7,66      7,58      7,45      7,37      7,24      7,16      7,03      7,31      
AKHAN   36,23     35,68     34,67     34,12     33,11     32,56     31,55     33,44     
AKMGY   271,83    268,41    262,33    258,91    252,83    249,41    243,33    260,00    
AKSA    13,17     12,98     12,63     12,44     12,09     11,90     11,55     12,17     
AKSEN   91,26     88,23     84,36     81,33     77,46     74,43     70,56     87,40     
AKSGY   9,76      9,65      9,48      9,37      9,20      9,09      8,92      9,44      
AKSUE   40,24     39,62     38,56     37,94     36,88     36,26     35,20     37,02     
AKYHO   2,66      2,63      2,60      2,57      2,54      2,51      2,48      2,57      
ALARK   109,33    107,56    104,13    102,36    989,33    971,66    937,33    102,90    
ALBRK   8,90      8,81      8,71      8,62      8,52      8,43      8,33      8,78      
