# Son Güncelleme: 06.07.2026 18:49:39
TARIH       SEMBOL         ANA SINYAL  SON FIYAT   PGC ORAN    HACIM ORAN  HACIM/PGC   ACIKLAMA                                                              
06.07.2026  VKING          SAT         24,04       -0.0255     -0.4650     18.1997     PGC çok küçük, oran şişmiş – dikkatli yorumla                         
06.07.2026  SARKY          SAT         27,02       -0.1179     -0.3291     2.7922      Satış baskısı güçlü, hacim düşüşü sert                                
06.07.2026  PKART          SAT         127,70      -0.0920     -0.1643     1.7854      Para çıkışı var, hacim düşüşüyle destekleniyor                        
06.07.2026  DSTKF          SAT         3585,00     0.5451      0.6435      1.1806      SAT sinyali riskli – para girişi var                                  
06.07.2026  SONME          SAT         126,20      1.1402      1.1771      1.0324      SAT sinyali riskli – para girişi var                                  
06.07.2026  OFSYM          SAT         56,75       0.3210      0.3272      1.0194      SAT sinyali riskli – para girişi var                                  
06.07.2026  SUWEN          SAT         6,67        1.2027      1.2130      1.0086      SAT sinyali riskli – para girişi var                                  
06.07.2026  AZTEK          SAT         4,75        -0.4733     -0.4728     0.9989      Zayıf uyum, düşüş sınırlı                                             
06.07.2026  DOCO           SAT         11620,00    -0.5767     -0.5281     0.9157      Zayıf uyum, düşüş sınırlı                                             
06.07.2026  MANAS          SAT         29,90       -0.9123     -0.6330     0.6938      Para çıkışı var, hacim düşüşüyle destekleniyor                        
06.07.2026  PSDTC          SAT         143,30      14.4878     8.6041      0.5939      SAT sinyali riskli – para girişi var                                  
06.07.2026  AKGRT          SAT         7,08        -1.0707     -0.6158     0.5751      Para çıkışı var, hacim düşüşüyle destekleniyor                        
06.07.2026  SNGYO          SAT         3,75        -1.0249     -0.5127     0.5003      Para çıkışı var, hacim düşüşüyle destekleniyor                        
06.07.2026  KUVVA          SAT         135,20      -1.4368     -0.6680     0.4649      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  ISGSY          SAT         20,00       -1.3018     -0.5347     0.4107      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  ARFYE          SAT         31,12       4.4243      1.4648      0.3311      SAT sinyali riskli – para girişi var                                  
06.07.2026  NIBAS          SAT         4,24        -1.8047     -0.5284     0.2928      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  PENGD          SAT         10,78       -1.2782     -0.3572     0.2794      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  POLTK          SAT         5310,00     -1.6180     -0.4474     0.2765      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  KONYA          SAT         4057,50     -0.6245     -0.1470     0.2354      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  SANEL          SAT         75,50       -1.8371     -0.4245     0.2311      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  EGEEN          SAT         5642,50     -1.0228     -0.2234     0.2184      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  MEPET          SAT         22,40       2.0000      0.4361      0.2180      SAT sinyali riskli – para girişi var                                  
06.07.2026  PLTUR          SAT         22,96       7.2333      1.5536      0.2148      SAT sinyali riskli – para girişi var                                  
06.07.2026  TTRAK          SAT         440,00      3.9685      0.6496      0.1637      SAT sinyali riskli – para girişi var                                  
06.07.2026  BTCIM          SAT         5,88        -1.8416     -0.2897     0.1573      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  MAKTK          SAT         12,25       -0.6261     -0.0882     0.1408      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  OTKAR          SAT         374,00      -4.6449     -0.6060     0.1305      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  GEDIK          SAT         7,10        -2.3212     -0.2846     0.1226      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  GLBMD          SAT         13,90       -4.9494     -0.6028     0.1218      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  BESTE          SAT         33,18       -2.0266     -0.1806     0.0891      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  RTALB          SAT         3,52        -6.8382     -0.5352     0.0783      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  GMTAS          SAT         44,70       -2.0736     -0.1047     0.0505      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  GZNMI          SAT         62,90       6.0861      0.2534      0.0416      SAT sinyali riskli – para girişi var                                  
06.07.2026  KRSTL          SAT         10,69       -5.0459     -0.1998     0.0396      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  SELEC          SAT         207,00      -9.4342     -0.3119     0.0331      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  KLGYO          SAT         5,05        -12.1511    -0.3575     0.0294      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  KZGYO          SAT         22,38       -11.3385    -0.2553     0.0225      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  OYAKC          SAT         20,56       -5.6785     -0.1004     0.0177      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  TKFEN          SAT         134,50      -18.3394    -0.2780     0.0152      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  YYAPI          SAT         0,88        -14.1667    -0.1877     0.0132      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  BFREN          SAT         135,40      8.8352      0.1138      0.0129      SAT sinyali riskli – para girişi var                                  
06.07.2026  ESEN           SAT         3,66        -2.0449     -0.0111     0.0054      Para çıkışı var ama hacim sınırlı                                     
06.07.2026  GOZDE          SAT         23,60       -18.0000    0.0077      -0.0004     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  ESCOM          SAT         5,93        -57.3333    0.1734      -0.0030     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  BINHO          SAT         10,42       -5.6888     0.0915      -0.0161     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  GLYHO          SAT         18,11       -6.0220     0.0983      -0.0163     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  RUZYE          SAT         9,71        -0.8954     0.0257      -0.0287     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  YATAS          SAT         39,50       -50.5385    2.5048      -0.0496     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  DEVA           SAT         70,80       -5.2195     0.2838      -0.0544     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  DGNMO          SAT         8,40        8.1111      -0.4731     -0.0583     SAT sinyali riskli – para girişi var                                  
06.07.2026  DMSAS          SAT         8,36        0.8576      -0.0680     -0.0793     SAT sinyali riskli – para girişi var                                  
06.07.2026  EKSUN          SAT         6,71        -0.9384     0.0761      -0.0811     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  ACSEL          SAT         139,00      -7.2200     0.6103      -0.0845     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  LYDYE          SAT         13417,50    -15.2692    1.2945      -0.0848     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  BORSK          SAT         6,00        -1.8690     0.1632      -0.0873     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  HTTBT          SAT         39,20       0.5132      -0.0453     -0.0882     SAT sinyali riskli – para girişi var                                  
06.07.2026  ORCAY          SAT         4,05        0.8726      -0.0783     -0.0898     SAT sinyali riskli – para girişi var                                  
06.07.2026  GOLTS          SAT         325,50      0.7469      -0.0745     -0.0997     SAT sinyali riskli – para girişi var                                  
06.07.2026  CCOLA          SAT         82,40       -1.7442     0.1776      -0.1018     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  MTRKS          SAT         29,60       -4.9916     0.5254      -0.1053     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  ENKAI          SAT         91,05       -1.9417     0.2157      -0.1111     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  LUKSK          SAT         104,50      -1.9270     0.2222      -0.1153     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  NATEN          SAT         6,45        -8.4952     0.9900      -0.1165     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  HUNER          SAT         3,75        -10.4056    1.3407      -0.1288     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  SKTAS          SAT         3,69        -5.2114     0.7374      -0.1415     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  AKMGY          SAT         243,80      -1.2683     0.1873      -0.1477     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
06.07.2026  BALSU          SAT         17,35       -2.9945     0.4426      -0.1478     Çelişkili sinyal – para çıkışı var ama hacim artıyor                  
